sample_id,frame,year,title,author,label,raw_label,confidence,narrating_situation,agent_note,why,n_quotes,event_past,event_present,beat_past,beat_present,bucket_event,bucket_dialogue,bucket_gnomic,bucket_paratext,bucket_unclear
top1942:1525,pilot,1942,DRAGON SEED,Pearl S. Buck,PAST,PAST,high,retrospective,,"100% past / 0% present of 10, situation=retrospective",23,9,0,1,0,9,10,3,0,1
top1942:5820,pilot,1942,THE MOON IS DOWN,John Steinbeck,PAST,PAST,high,retrospective,,"89% past / 11% present of 9, situation=retrospective",20,5,1,3,0,6,12,2,0,0
top1942:6157,pilot,1942,THE ROBE,Lloyd C. Douglas,ABSTAIN,INSUFFICIENT,,retrospective,,only 4 tense-bearing quotes,22,3,0,1,0,3,15,3,1,0
top1943:263,pilot,1943,A TREE GROWS IN BROOKLYN,Betty Smith,PAST,PAST,high,retrospective,,"100% past / 0% present of 39, situation=retrospective",74,25,0,14,0,25,43,5,1,0
top1943:2298,pilot,1943,HUNGRY HILL,Daphne du Maurier,PAST,PAST,med,retrospective,,"100% past / 0% present of 7, situation=retrospective",10,6,0,1,0,6,2,2,0,0
top1943:3122,pilot,1943,MRS. PARKINGTON,Louis Bromfield,ABSTAIN,INSUFFICIENT,,unclear,No event-narration evidence in the supplied excerpt.,only 0 tense-bearing quotes,1,0,0,0,0,0,0,1,0,0
top1943:4559,pilot,1943,THE APOSTLE,Sholem Asch,ABSTAIN,INSUFFICIENT,,retrospective,,only 2 tense-bearing quotes,4,0,0,2,0,0,4,0,0,0
top1943:5439,pilot,1943,THE HUMAN COMEDY,William Saroyan,PAST,PAST,high,retrospective,Event narration is predominantly past; the present-tense first-person excerpts are story-specific reflections.,"78% past / 22% present of 9, situation=retrospective",22,6,2,1,0,8,12,2,0,0
top1944:50,pilot,1944,A BELL FOR ADANO,John Hersey,ABSTAIN,INSUFFICIENT,,retrospective,,only 2 tense-bearing quotes,3,2,0,0,0,2,0,0,0,1
top1944:1896,pilot,1944,FOREVER AMBER,Kathleen Winsor,PAST,PAST,med,retrospective,,"100% past / 0% present of 5, situation=retrospective",9,5,0,0,0,5,2,1,1,0
top1944:4344,pilot,1944,STRANGE FRUIT,Lillian Smith,ABSTAIN,INSUFFICIENT,,retrospective,,only 2 tense-bearing quotes,9,2,0,0,0,2,7,0,0,0
top1944:5334,pilot,1944,THE GREEN YEARS,A. J. Cronin,ABSTAIN,INSUFFICIENT,,retrospective,One past-tense event quote supports a retrospective narrating situation; the remaining fragment is non-diagnostic.,only 1 tense-bearing quotes,2,1,0,0,0,1,0,0,0,1
top1944:6102,pilot,1944,THE RAZOR'S EDGE,Somerset Maugham,PAST,PAST,high,retrospective,,"85% past / 15% present of 39, situation=retrospective",84,27,6,6,0,33,23,26,1,1
top1945:5195,pilot,1945,THE FOUNTAINHEAD,Ayn Rand,PAST,PAST,med,retrospective,,"100% past / 0% present of 7, situation=retrospective",56,4,0,3,0,4,35,17,0,0
top1946:505,pilot,1946,ARCH OF TRIUMPH,Erich Maria Remarque,PAST,PAST,high,retrospective,"Event narration is chiefly retrospective, with present-moment interior thought excerpts.","82% past / 18% present of 11, situation=retrospective",26,8,2,1,0,10,7,9,0,0
top1946:3027,pilot,1946,MISTER ROBERTS,Thomas Heggen,ABSTAIN,INSUFFICIENT,,simultaneous,One present-tense event quote; the remaining unframed line is conservatively unclear.,only 1 tense-bearing quotes,2,0,1,0,0,1,0,0,0,1
top1946:5547,pilot,1946,THE KING'S GENERAL,Daphne du Maurier,PAST,PAST,med,retrospective,,"86% past / 14% present of 7, situation=retrospective",12,4,1,2,0,5,3,3,1,0
top1946:6812,pilot,1946,THIS SIDE OF INNOCENCE,Taylor Caldwell,ABSTAIN,INSUFFICIENT,,unclear,,only 0 tense-bearing quotes,1,0,0,0,0,0,1,0,0,0
top1947:1978,pilot,1947,GENTLEMAN'S AGREEMENT,Laura Z. Hobson,PAST,PAST,high,retrospective,,"100% past / 0% present of 26, situation=retrospective",29,14,0,12,0,14,13,1,1,0
top1948:1215,pilot,1948,"CRY, THE BELOVED COUNTRY",Alan Paton,OTHER,DUAL,high,dual,Manual override: dual narration confirmed by review.,"33% past / 67% present of 27, situation=dual",50,8,16,1,2,24,7,18,0,1
top1948:3709,pilot,1948,RAINTREE COUNTY,Ross Lockridge,PAST,PAST,high,retrospective,,"88% past / 12% present of 8, situation=retrospective",10,6,1,1,0,7,2,0,0,1
top1948:5848,pilot,1948,THE NAKED AND THE DEAD,Norman Mailer,PAST,PAST,high,retrospective,,"84% past / 16% present of 25, situation=retrospective",42,20,3,1,1,23,15,3,1,0
top1948:6765,pilot,1948,THE YOUNG LIONS,Irwin Shaw,PAST,PAST,high,retrospective,"Classified 18 excerpts: 12 event (9 past, 3 present), 4 dialogue, and 2 gnomic. Past narration predominates, while the present event excerpts are character thoughts or current states.","80% past / 20% present of 15, situation=retrospective",18,9,3,3,0,12,5,1,0,0
top1949:205,pilot,1949,A RAGE TO LIVE,John O'Hara,ABSTAIN,INSUFFICIENT,,retrospective,,only 1 tense-bearing quotes,1,1,0,0,0,1,0,0,0,0
top1949:3548,pilot,1949,POINT OF NO RETURN,John P. Marquand,ABSTAIN,INSUFFICIENT,,retrospective,,only 4 tense-bearing quotes,5,4,0,0,0,4,1,0,0,0
top1949:4715,pilot,1949,THE BRAVE BULLS,Tom Lea,ABSTAIN,INSUFFICIENT,,unclear,The only excerpt is gnomic and provides no narrating-situation evidence.,only 0 tense-bearing quotes,1,0,0,0,0,0,0,1,0,0
top1949:5038,pilot,1949,THE EGYPTIAN,Mika Waltari,ABSTAIN,INSUFFICIENT,,retrospective,,only 3 tense-bearing quotes,17,2,0,1,0,2,5,7,2,1
top1949:5756,pilot,1949,THE MAN WITH THE GOLDEN ARM,Nelson Algren,PAST,PAST,high,retrospective,,"100% past / 0% present of 12, situation=retrospective",20,8,0,4,0,8,7,3,2,0
top1950:302,pilot,1950,ACROSS THE RIVER AND INTO THE TREES,Ernest Hemingway,PAST,PAST,high,retrospective,,"86% past / 14% present of 14, situation=retrospective",25,7,2,5,0,9,10,5,0,1
top1950:2516,pilot,1950,JOY STREET,Frances Parkinson Keyes,ABSTAIN,INSUFFICIENT,,simultaneous,,only 0 tense-bearing quotes,1,0,0,0,0,0,0,1,0,0
top1950:2518,pilot,1950,JUBILEE TRAIL,Gwen Bristow,ABSTAIN,INSUFFICIENT,,retrospective,,only 2 tense-bearing quotes,7,2,0,0,0,2,3,2,0,0
top1950:4286,pilot,1950,STAR MONEY,Kathleen Winsor,ABSTAIN,INSUFFICIENT,,unclear,,only 1 tense-bearing quotes,2,0,1,0,0,1,1,0,0,0
top1950:4518,pilot,1950,THE ADVENTURER,Mika Waltari,ABSTAIN,INSUFFICIENT,,unclear,Single quote is insufficient to determine a narrating situation.,only 0 tense-bearing quotes,1,0,0,0,0,0,0,0,0,1
top1950:4758,pilot,1950,THE CARDINAL,Henry Morton Robinson,ABSTAIN,INSUFFICIENT,,retrospective,,only 1 tense-bearing quotes,2,0,0,1,0,0,2,0,0,0
top1950:5676,pilot,1950,THE LITTLE WORLD OF DON CAMILLO,Giovanni Guareschi,ABSTAIN,INSUFFICIENT,,unclear,,only 0 tense-bearing quotes,1,0,0,0,0,0,1,0,0,0
top1951:1938,pilot,1951,FROM HERE TO ETERNITY,James Jones,PAST,PAST,high,retrospective,,"100% past / 0% present of 19, situation=retrospective",27,9,0,10,0,9,13,5,0,0
top1951:4749,pilot,1951,THE CAINE MUTINY,Herman Wouk,PAST,PAST,high,retrospective,,"94% past / 6% present of 17, situation=retrospective",48,13,1,3,0,14,29,4,0,1
top1951:4907,pilot,1951,THE CRUEL SEA,Nicholas Monsarrat,PAST,PAST,med,retrospective,,"100% past / 0% present of 5, situation=retrospective",7,5,0,0,0,5,0,1,0,1
top1952:1594,pilot,1952,EAST OF EDEN,John Steinbeck,PAST,PAST,high,retrospective,,"95% past / 5% present of 21, situation=retrospective",95,13,1,7,0,14,63,17,1,0
top1952:3138,pilot,1952,MY COUSIN RACHEL,Daphne du Maurier,PAST,PAST,high,retrospective,,"93% past / 7% present of 28, situation=retrospective",46,25,2,1,0,27,15,4,0,0
top1952:6310,pilot,1952,THE SILVER CHALICE,Thomas B. Costain,ABSTAIN,INSUFFICIENT,,unclear,,only 0 tense-bearing quotes,3,0,0,0,0,0,3,0,0,0
top1953:599,pilot,1953,BATTLE CRY,Leon Uris,ABSTAIN,INSUFFICIENT,,unclear,,only 0 tense-bearing quotes,3,0,0,0,0,0,3,0,0,0
top1953:687,pilot,1953,BEYOND THIS PLACE,A.J. Cronin,ABSTAIN,INSUFFICIENT,,unclear,,only 0 tense-bearing quotes,1,0,0,0,0,0,0,1,0,0
top1953:1428,pilot,1953,DESIREE,Annemarie Selinko,ABSTAIN,INSUFFICIENT,,unclear,,only 1 tense-bearing quotes,1,0,0,0,1,0,1,0,0,0
top1953:2583,pilot,1953,KINGFISHERS CATCH FIRE,Rumer Godden,ABSTAIN,INSUFFICIENT,,retrospective,,only 4 tense-bearing quotes,4,3,0,1,0,3,1,0,0,0
top1953:4924,pilot,1953,THE DARK ANGEL,Mika Waltari,ABSTAIN,INSUFFICIENT,,unclear,The two excerpts do not establish the work's overall narrating situation.,only 2 tense-bearing quotes,2,1,0,1,0,1,1,0,0,0
top1953:6863,pilot,1953,TIME AND TIME AGAIN,James Hilton,ABSTAIN,INSUFFICIENT,,retrospective,,only 1 tense-bearing quotes,2,1,0,0,0,1,0,1,0,0
top1953:6923,pilot,1953,TOO LATE THE PHALAROPE,Alan Paton,PAST,PAST,med,retrospective,,"100% past / 0% present of 7, situation=retrospective",11,5,0,2,0,5,4,2,0,0
top1954:2545,pilot,1954,KATHERINE,Anya Seton,PAST,PAST,high,retrospective,,"93% past / 7% present of 15, situation=retrospective",27,11,1,3,0,12,7,6,0,2
top1954:2811,pilot,1954,LOVE IS ETERNAL,Irving Stone,ABSTAIN,INSUFFICIENT,,unclear,The excerpt contains no scene-level narration from which to establish a base narrating situation.,only 0 tense-bearing quotes,1,0,0,0,0,0,0,1,0,0
top1954:2913,pilot,1954,MARY ANNE,Daphne du Maurier,ABSTAIN,INSUFFICIENT,,retrospective,,only 3 tense-bearing quotes,6,2,0,1,0,2,2,1,1,0
top1954:3192,pilot,1954,"NEVER VICTORIOUS, NEVER DEFEATED",Taylor Caldwell,ABSTAIN,INSUFFICIENT,,retrospective,Validated: two input quotes are represented once each in source order with production-compatible fields.,only 2 tense-bearing quotes,2,2,0,0,0,2,0,0,0,0
top1954:4999,pilot,1954,THE DOLLMAKER,Harriette Arnow,ABSTAIN,INSUFFICIENT,,retrospective,,only 1 tense-bearing quotes,4,1,0,0,0,1,3,0,0,0
top1954:6168,pilot,1954,THE ROYAL BOX,Frances Parkinson Keyes,ABSTAIN,INSUFFICIENT,,retrospective,Single event-narration excerpt is retrospective.,only 1 tense-bearing quotes,1,1,0,0,0,1,0,0,0,0
top1955:457,pilot,1955,ANDERSONVILLE,MacKinlay Kantor,ABSTAIN,INSUFFICIENT,,retrospective,,only 2 tense-bearing quotes,2,1,0,1,0,1,1,0,0,0
top1955:549,pilot,1955,AUNTIE MAME,Patrick Dennis,PAST,PAST,med,retrospective,,"100% past / 0% present of 5, situation=retrospective",11,3,0,2,0,3,4,2,2,0
top1955:5750,pilot,1955,THE MAN IN THE GRAY FLANNEL SUIT,Sloan Wilson,PAST,PAST,high,retrospective,,"100% past / 0% present of 9, situation=retrospective",17,4,0,5,0,4,11,2,0,0
top1956:1135,pilot,1956,COMPULSION,Meyer Levin,ABSTAIN,INSUFFICIENT,,retrospective,,only 1 tense-bearing quotes,1,1,0,0,0,1,0,0,0,0
top1956:2374,pilot,1956,IMPERIAL WOMAN,Pearl S. Buck,PAST,PAST,high,retrospective,Event narration is overwhelmingly retrospective; one story-specific present statement does not indicate a dual narrating position.,"93% past / 7% present of 15, situation=retrospective",19,12,1,2,0,13,3,2,0,1
top1956:3507,pilot,1956,PEYTON PLACE,Grace Metalious,ABSTAIN,INSUFFICIENT,,retrospective,,only 4 tense-bearing quotes,12,2,0,2,0,2,8,2,0,0
top1956:5591,pilot,1956,THE LAST HURRAH,Edwin O'Connor,PAST,PAST,high,retrospective,,"94% past / 6% present of 17, situation=retrospective",29,5,1,11,0,6,23,0,0,0
top1956:5761,pilot,1956,THE MANDARINS,Simone de Beauvoir,PAST,PAST,high,retrospective,,"87% past / 13% present of 15, situation=retrospective",26,10,2,3,0,12,6,8,0,0
top1957:771,pilot,1957,BLUE CAMELLIA,Frances Parkinson Keyes,ABSTAIN,INSUFFICIENT,,unclear,,only 0 tense-bearing quotes,1,0,0,0,0,0,1,0,0,0
top1957:3363,pilot,1957,ON THE BEACH,Nevil Shute,PAST,PAST,high,retrospective,,"71% past / 29% present of 14, situation=retrospective",23,5,4,5,0,9,12,2,0,0
top1957:5575,pilot,1957,THE LAST ANGRY MAN,Gerald Green,ABSTAIN,INSUFFICIENT,,unclear,,only 0 tense-bearing quotes,1,0,0,0,0,0,1,0,0,0
top1957:6200,pilot,1957,THE SCAPEGOAT,Daphne du Maurier,PAST,PAST,high,retrospective,,"100% past / 0% present of 15, situation=retrospective",24,15,0,0,0,15,6,2,0,1
top1958:447,pilot,1958,ANATOMY OF A MURDER,Robert Traver,ABSTAIN,INSUFFICIENT,,retrospective,,only 3 tense-bearing quotes,8,3,0,0,0,3,0,4,1,0
top1958:1484,pilot,1958,DOCTOR ZHIVAGO,Boris Pasternak,PAST,PAST,high,retrospective,,"84% past / 16% present of 25, situation=retrospective",68,21,4,0,0,25,15,23,0,5
top1958:1699,pilot,1958,EXODUS,Leon Uris,PAST,PAST,high,retrospective,,"100% past / 0% present of 23, situation=retrospective",32,19,0,4,0,19,10,2,0,1
top1958:2745,pilot,1958,LOLITA,Vladimir Nabokov,PAST,PAST,high,retrospective,,"83% past / 17% present of 12, situation=retrospective",24,10,2,0,0,12,6,5,0,1
top1958:6715,pilot,1958,THE WINTHROP WOMAN,Anya Seton,ABSTAIN,INSUFFICIENT,,retrospective,,only 3 tense-bearing quotes,5,2,0,1,0,2,2,1,0,0
top1959:319,pilot,1959,ADVISE AND CONSENT,Allen Drury,ABSTAIN,INSUFFICIENT,,retrospective,,only 3 tense-bearing quotes,5,1,0,2,0,1,3,0,1,0
top1959:1355,pilot,1959,DEAR AND GLORIOUS PHYSICIAN,Taylor Caldwell,ABSTAIN,INSUFFICIENT,,retrospective,,only 3 tense-bearing quotes,15,1,0,2,0,1,5,9,0,0
top1959:2126,pilot,1959,HAWAII,James A. Michener,PAST,PAST,high,retrospective,,"100% past / 0% present of 10, situation=retrospective",24,7,0,3,0,7,12,5,0,0
top1959:3111,pilot,1959,MRS. ARRIS GOES TO PARIS,Paul Gallico,ABSTAIN,INSUFFICIENT,,retrospective,Three story-specific past event excerpts; one gnomic generalization.,only 3 tense-bearing quotes,4,3,0,0,0,3,0,1,0,0
top1959:4970,pilot,1959,THE DEVIL'S ADVOCATE,Morris L. West,PAST,PAST,CONFLICT,retrospective,,"50% past / 50% present of 12, situation=retrospective",19,6,6,0,0,12,3,4,0,0
top1960:5599,pilot,1960,THE LAST OF THE JUST,Andre Schwarz-Bart,ABSTAIN,INSUFFICIENT,,retrospective,,only 2 tense-bearing quotes,5,0,0,1,1,0,4,1,0,0
top1960:5646,pilot,1960,THE LEOPARD,Guiseppe di Lampedusa,PAST,PAST,high,retrospective,,"100% past / 0% present of 12, situation=retrospective",26,11,0,1,0,11,10,5,0,0
top1960:6887,pilot,1960,TO KILL A MOCKINGBIRD,Harper Lee,PAST,PAST,med,retrospective,,"100% past / 0% present of 7, situation=retrospective",25,6,0,1,0,6,18,1,0,0
top1961:1919,pilot,1961,FRANNY AND ZOOEY,J.D. Salinger,PAST,PAST,CONFLICT,retrospective,,"62% past / 38% present of 32, situation=retrospective",91,18,12,2,0,30,55,4,0,2
top1961:4529,pilot,1961,THE AGONY AND THE ECSTASY,Irving Stone,PAST,PAST,high,retrospective,,"100% past / 0% present of 19, situation=retrospective",47,18,0,1,0,18,13,15,0,1
top1961:4764,pilot,1961,THE CARPETBAGGERS,Harold Robbins,PAST,PAST,high,retrospective,,"100% past / 0% present of 9, situation=retrospective",12,2,0,7,0,2,8,2,0,0
top1962:1715,pilot,1962,FAIL-SAFE,Eugene Burdick and Harvey Wheeler,PAST,PAST,med,retrospective,,"86% past / 14% present of 7, situation=retrospective",11,5,1,1,0,6,4,1,0,0
top1962:4059,pilot,1962,SHIP OF FOOLS,Katherine Anne Porter,PAST,PAST,high,retrospective,,"100% past / 0% present of 10, situation=retrospective",15,7,0,3,0,7,6,2,0,0
top1962:7404,pilot,1962,YOUNGBLOOD HAWKE,Herman Wouk,PAST,PAST,med,retrospective,"Event narration is predominantly retrospective, with present-tense first-person reflection in the sampled excerpts.","71% past / 29% present of 7, situation=retrospective",14,3,2,2,0,5,3,5,0,1
top1963:5339,pilot,1963,THE GROUP,Mary McCarthy,PAST,PAST,high,retrospective,,"100% past / 0% present of 17, situation=retrospective",22,13,0,4,0,13,8,1,0,0
top1963:6289,pilot,1963,THE SHOES OF THE FISHERMAN,Morris L. West,PAST,PAST,high,retrospective,,"75% past / 25% present of 8, situation=retrospective",25,4,2,2,0,6,17,2,0,0
top1963:6606,pilot,1963,THE VENETIAN AFFAIR,Helen MacInnes,ABSTAIN,INSUFFICIENT,,unclear,,only 0 tense-bearing quotes,1,0,0,0,0,0,1,0,0,0
top1964:2178,pilot,1964,HERZOG,Saul Bellow,PAST,PAST,high,retrospective,,"100% past / 0% present of 14, situation=retrospective",51,8,0,6,0,8,16,25,0,2
top1964:5745,pilot,1964,THE MAN,Irving Wallace,ABSTAIN,INSUFFICIENT,,retrospective,,only 4 tense-bearing quotes,10,1,0,3,0,1,4,5,0,0
top1964:6381,pilot,1964,THE SPY WHO CAME IN FROM THE COLD,John le Carré,PAST,PAST,high,retrospective,,"100% past / 0% present of 35, situation=retrospective",57,22,0,13,0,22,25,6,4,0
top1965:2271,pilot,1965,HOTEL,Arthur Hailey,ABSTAIN,INSUFFICIENT,,retrospective,,only 1 tense-bearing quotes,5,1,0,0,0,1,0,4,0,0
top1965:6366,pilot,1965,THE SOURCE,James Michener,PAST,PAST,high,retrospective,,"100% past / 0% present of 16, situation=retrospective",22,10,0,6,0,10,8,4,0,0
top1965:7086,pilot,1965,UP THE DOWN STAIRCASE,Bel Kaufman,OTHER,DUAL,high,dual,,"67% past / 33% present of 9, situation=dual",26,4,3,2,0,7,14,0,5,0
top1966:4428,pilot,1966,TAI-PAN,James Clavell,PAST,PAST,high,retrospective,,"100% past / 0% present of 8, situation=retrospective",26,7,0,1,0,7,11,8,0,0
top1966:6232,pilot,1966,THE SECRET OF SANTA VITTORIA,Robert Crichton,ABSTAIN,INSUFFICIENT,,unclear,,only 0 tense-bearing quotes,2,0,0,0,0,0,1,1,0,0
top1966:7095,pilot,1966,VALLEY OF THE DOLLS,Jacqueline Susann,PAST,PAST,high,retrospective,,"100% past / 0% present of 15, situation=retrospective",48,14,0,1,0,14,27,6,1,0
